original_text,polarity,subjectivity,clean_text
"🚨Africa is ""in the midst of a full-blown third wave"" of coronavirus, the head of @WHOAFRO has warned

Cases have risen across the continent by more than 20% and deaths have also risen by 15% in the last week

@jriggers reports ~ 🧵
https://t.co/CRDhqPHFWM",0.16666666666666666,0.18888888888888888,"🚨 is "" in the midst of a full - blown third wave "" of , the head of have risen across the continent by more than 20 % and have also risen by 15 % in the last week ~ 🧵"
"Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa. https://t.co/sOgIroihOc",0.13333333333333333,0.45555555555555555,"is head of WHO in , and one of the best public health and I know . Hers is a desperate request for to . We plead with and the to lift patent and urgently transfer technology to enable production in ."
"Thank you @research2note for creating this amazing campaign &amp; turning social media #red4research today. @NHSRDFORUM is all about sharing the talent, passion  &amp; commitment of individuals coming together as a community for the benefit of all. You've done this. Well done 👋",0.3166666666666667,0.48333333333333334,"Thank you for this amazing campaign & ; turning social media red4research today . is all about the talent , passion & ; commitment of coming together as a community for the benefit of all . You ' done this . Well done 👋"
"Former Pfizer VP and Virologist, Dr. Michael Yeadon, is one of the most credentialed medical professionals speaking out about the dangers of the #Covid19 vaccines, breaks down his “list of lies” that keeps him up at night. https://t.co/LSE8CrKdqn",0.08611111111111111,0.19722222222222224,"Former and Virologist , . , is one of the most medical speaking out about the of the Covid19 , down his “ list of ” that him up at night ."
I think it’s important that we don’t sell COVAX short. It still has a lot going for it and is innovative in its design. But it needs more vaccines to share.  We’re hoping our low cost @TexasChildrens recombinant protein COVID19 vaccine with @biological_e will help fill some gaps,0.27999999999999997,0.6199999999999999,I think it ’ s important that we don ’ t sell short . It still a lot going for it and is innovative in its design . But it needs more to share . We ’ re our low cost protein COVID19 vaccine with e will help fill some
"I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP",0.5083333333333333,0.7833333333333333,"I ’ m to welcome the bus to today ! Remember , there are 3 easy ways to find a COVID19 vaccine near you : 🔍 Search 📱 Text your ZIP code to 438829 📞 Call 1 - 800 - 232 - 0233"
"Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines. https://t.co/WcVq32s9WD",3.700743415417188e-17,0.6333333333333334,"Yet another amazingly qualified and courageous doctor , Roger , out against the crazy government policy to COVID . I have condensed his 45 on The to 6 Twitter size , starting with an overview of and ."
"Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa.",0.13333333333333333,0.45555555555555555,"is head of WHO in , and one of the best public health and I know . Hers is a desperate request for to . We plead with and the to lift patent and urgently transfer technology to enable production in ."
"It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",0.37272727272727274,0.46742424242424246,"It is really something to see new research coming out about damage to the brain , heart , and more from Covid19 . And then watch our government reopen everything and just let Covid and spread wildly throughout our country . are great but we need to do more"
BioCubaFarma says phase 3 clinical trial results for #Cuban #COVID19 #vaccines are due out in a few days. Soberana02 (with and without booster) and Abdala were tested in 85K+ volunteers in Havana and eastern Cuba. @BioCubaFarma @FinlayInstituto @cda_dc @WOLA_org @aperezriverol https://t.co/GkrwLdJX1M,-0.1625,0.2375,phase 3 clinical trial for COVID19 are due out in a few days . Soberana02 ( with and without booster ) and were tested in 85K + in and eastern .
